"protein","feature","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"2206","sp|O00483|NDUA4_HUMAN","sp|O00483|NDUA4_HUMAN",0.129,0.664177537497558,0.767,"conditionB-conditionA","HUMAN","0","0"
"2207","sp|P21333|FLNA_HUMAN","sp|P21333|FLNA_HUMAN",-0.0334,0.664919850443732,0.767,"conditionB-conditionA","HUMAN","0","0"
"2208","sp|Q8IY81|SPB1_HUMAN","sp|Q8IY81|SPB1_HUMAN",-0.0874,0.665472729008845,0.767,"conditionB-conditionA","HUMAN","0","0"
"2209","sp|P35580|MYH10_HUMAN","sp|P35580|MYH10_HUMAN",-0.07,0.665736426367522,0.767,"conditionB-conditionA","HUMAN","0","0"
"2210","sp|Q86W42|THOC6_HUMAN","sp|Q86W42|THOC6_HUMAN",-0.12,0.666949663824119,0.767,"conditionB-conditionA","HUMAN","0","0"
"2211","sp|Q9UNN5|FAF1_HUMAN","sp|Q9UNN5|FAF1_HUMAN",-0.0579,0.668038313055139,0.767,"conditionB-conditionA","HUMAN","0","0"
"2212","sp|P15374|UCHL3_HUMAN","sp|P15374|UCHL3_HUMAN",-0.228,0.668104264466351,0.767,"conditionB-conditionA","HUMAN","0","0"
"2213","sp|P04792|HSPB1_HUMAN","sp|P04792|HSPB1_HUMAN",0.055,0.668712341584125,0.767,"conditionB-conditionA","HUMAN","0","0"
"2214","sp|P18859|ATP5J_HUMAN","sp|P18859|ATP5J_HUMAN",0.152,0.669576307752781,0.768,"conditionB-conditionA","HUMAN","0","0"
"2215","sp|O76031|CLPX_HUMAN","sp|O76031|CLPX_HUMAN",-0.0626,0.669917186179591,0.768,"conditionB-conditionA","HUMAN","0","0"
"2216","sp|Q9NZ63|TLS1_HUMAN","sp|Q9NZ63|TLS1_HUMAN",0.121,0.670500478809962,0.768,"conditionB-conditionA","HUMAN","0","0"
"2217","sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN","sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN",-0.0382,0.672537909552729,0.768,"conditionB-conditionA","HUMAN","0","0"
"2218","sp|Q14320|FA50A_HUMAN","sp|Q14320|FA50A_HUMAN",0.155,0.673401334286108,0.768,"conditionB-conditionA","HUMAN","0","0"
"2219","sp|Q15785|TOM34_HUMAN","sp|Q15785|TOM34_HUMAN",-0.115,0.674229724503187,0.766,"conditionB-conditionA","HUMAN","0","0"
"2220","sp|Q9H444|CHM4B_HUMAN","sp|Q9H444|CHM4B_HUMAN",-0.0744,0.67426661484673,0.768,"conditionB-conditionA","HUMAN","0","0"
"2221","sp|Q10471|GALT2_HUMAN","sp|Q10471|GALT2_HUMAN",0.0966,0.674666432234094,0.768,"conditionB-conditionA","HUMAN","0","0"
"2222","sp|Q9NRN7|ADPPT_HUMAN","sp|Q9NRN7|ADPPT_HUMAN",0.0712,0.676170215071521,0.769,"conditionB-conditionA","HUMAN","0","0"
"2223","sp|P52292|IMA1_HUMAN","sp|P52292|IMA1_HUMAN",-0.041,0.67640662330961,0.769,"conditionB-conditionA","HUMAN","0","0"
"2224","sp|Q9H993|ARMT1_HUMAN","sp|Q9H993|ARMT1_HUMAN",0.132,0.676877120474469,0.769,"conditionB-conditionA","HUMAN","0","0"
"2225","sp|Q9NYF8|BCLF1_HUMAN","sp|Q9NYF8|BCLF1_HUMAN",-0.062,0.677441630863784,0.769,"conditionB-conditionA","HUMAN","0","0"
"2226","sp|Q8NI36|WDR36_HUMAN","sp|Q8NI36|WDR36_HUMAN",-0.0553,0.677576229133974,0.769,"conditionB-conditionA","HUMAN","0","0"
"2227","sp|P39111|VATF_YEAST","sp|P39111|VATF_YEAST",-0.199,0.678046122593857,0.769,"conditionB-conditionA","YEAST","1","-1"
"2228","sp|Q92888|ARHG1_HUMAN","sp|Q92888|ARHG1_HUMAN",0.0794,0.679551366611573,0.769,"conditionB-conditionA","HUMAN","0","0"
"2229","sp|Q15007|FL2D_HUMAN","sp|Q15007|FL2D_HUMAN",0.054,0.680957972148607,0.769,"conditionB-conditionA","HUMAN","0","0"
"2230","sp|Q8TDN6|BRX1_HUMAN","sp|Q8TDN6|BRX1_HUMAN",0.0735,0.681365305171286,0.769,"conditionB-conditionA","HUMAN","0","0"
"2231","sp|Q9BPX5|ARP5L_HUMAN","sp|Q9BPX5|ARP5L_HUMAN",-0.0423,0.681863511519348,0.769,"conditionB-conditionA","HUMAN","0","0"
"2232","sp|Q9Y2S7|PDIP2_HUMAN","sp|Q9Y2S7|PDIP2_HUMAN",-0.125,0.682102679674373,0.768,"conditionB-conditionA","HUMAN","0","0"
"2233","sp|P62253|UB2G1_HUMAN","sp|P62253|UB2G1_HUMAN",-0.0912,0.683340704181553,0.77,"conditionB-conditionA","HUMAN","0","0"
"2234","sp|P49327|FAS_HUMAN","sp|P49327|FAS_HUMAN",-0.0391,0.684229063209969,0.77,"conditionB-conditionA","HUMAN","0","0"
"2235","sp|Q86UX7|URP2_HUMAN","sp|Q86UX7|URP2_HUMAN",-0.0422,0.684531233512752,0.77,"conditionB-conditionA","HUMAN","0","0"
"2236","sp|P07948|LYN_HUMAN;sp|P08631|HCK_HUMAN;sp|P12931|SRC_HUMAN;sp|P06241|FYN_HUMAN;sp|P07947|YES_HUMAN","sp|P07948|LYN_HUMAN;sp|P08631|HCK_HUMAN;sp|P12931|SRC_HUMAN;sp|P06241|FYN_HUMAN;sp|P07947|YES_HUMAN",0.0505,0.684627227606895,0.77,"conditionB-conditionA","HUMAN","0","0"
"2237","sp|Q9UBS4|DJB11_HUMAN","sp|Q9UBS4|DJB11_HUMAN",-0.103,0.685486406171693,0.77,"conditionB-conditionA","HUMAN","0","0"
"2238","sp|P49750|YLPM1_HUMAN","sp|P49750|YLPM1_HUMAN",0.0336,0.685537910855921,0.77,"conditionB-conditionA","HUMAN","0","0"
"2239","sp|P17480|UBF1_HUMAN","sp|P17480|UBF1_HUMAN",0.0738,0.686608103398463,0.77,"conditionB-conditionA","HUMAN","0","0"
"2240","sp|Q03252|LMNB2_HUMAN","sp|Q03252|LMNB2_HUMAN",-0.0539,0.687571141892625,0.77,"conditionB-conditionA","HUMAN","0","0"
"2241","sp|P12270|TPR_HUMAN","sp|P12270|TPR_HUMAN",-0.0525,0.687632003972577,0.77,"conditionB-conditionA","HUMAN","0","0"
"2242","sp|Q9NT62|ATG3_HUMAN","sp|Q9NT62|ATG3_HUMAN",-0.12,0.690106379157488,0.77,"conditionB-conditionA","HUMAN","0","0"
"2243","sp|P35219|CAH8_HUMAN","sp|P35219|CAH8_HUMAN",-0.0876,0.690604955233339,0.771,"conditionB-conditionA","HUMAN","0","0"
"2244","sp|Q9Y678|COPG1_HUMAN","sp|Q9Y678|COPG1_HUMAN",-0.0406,0.691130233767767,0.771,"conditionB-conditionA","HUMAN","0","0"
"2245","sp|Q00534|CDK6_HUMAN","sp|Q00534|CDK6_HUMAN",-0.212,0.691796155063292,0.771,"conditionB-conditionA","HUMAN","0","0"
"2246","sp|Q8WYQ5|DGCR8_HUMAN","sp|Q8WYQ5|DGCR8_HUMAN",-0.079,0.691973664006154,0.771,"conditionB-conditionA","HUMAN","0","0"
"2247","sp|Q16186|ADRM1_HUMAN","sp|Q16186|ADRM1_HUMAN",-0.0691,0.692354799758349,0.771,"conditionB-conditionA","HUMAN","0","0"
"2248","sp|P00390|GSHR_HUMAN","sp|P00390|GSHR_HUMAN",0.0473,0.693250645489119,0.771,"conditionB-conditionA","HUMAN","0","0"
"2249","sp|Q6GMV3|PTRD1_HUMAN","sp|Q6GMV3|PTRD1_HUMAN",-0.0577,0.693962686201829,0.771,"conditionB-conditionA","HUMAN","0","0"
"2250","sp|P34949|MPI_HUMAN","sp|P34949|MPI_HUMAN",-0.0538,0.693998809137153,0.771,"conditionB-conditionA","HUMAN","0","0"
"2251","sp|Q96F86|EDC3_HUMAN","sp|Q96F86|EDC3_HUMAN",0.0963,0.694473999367795,0.771,"conditionB-conditionA","HUMAN","0","0"
"2252","sp|Q96G03|PGM2_HUMAN","sp|Q96G03|PGM2_HUMAN",0.0753,0.694801376921565,0.771,"conditionB-conditionA","HUMAN","0","0"
"2253","sp|P50213|IDH3A_HUMAN","sp|P50213|IDH3A_HUMAN",-0.0726,0.695965374994196,0.772,"conditionB-conditionA","HUMAN","0","0"
"2254","sp|P46379|BAG6_HUMAN","sp|P46379|BAG6_HUMAN",-0.0523,0.696112737644443,0.772,"conditionB-conditionA","HUMAN","0","0"
"2255","sp|P63220|RS21_HUMAN","sp|P63220|RS21_HUMAN",-0.0379,0.696782633015898,0.772,"conditionB-conditionA","HUMAN","0","0"
"2256","sp|Q9H074|PAIP1_HUMAN","sp|Q9H074|PAIP1_HUMAN",0.124,0.698098687393715,0.772,"conditionB-conditionA","HUMAN","0","0"
"2257","sp|Q13206|DDX10_HUMAN","sp|Q13206|DDX10_HUMAN",-0.198,0.699728779925259,0.771,"conditionB-conditionA","HUMAN","0","0"
"2258","sp|P52815|RM12_HUMAN","sp|P52815|RM12_HUMAN",0.106,0.699979960486835,0.772,"conditionB-conditionA","HUMAN","0","0"
"2259","sp|Q96RP9|EFGM_HUMAN","sp|Q96RP9|EFGM_HUMAN",0.0798,0.700026644694667,0.772,"conditionB-conditionA","HUMAN","0","0"
"2260","sp|P52888|THOP1_HUMAN","sp|P52888|THOP1_HUMAN",0.119,0.700204823990122,0.772,"conditionB-conditionA","HUMAN","0","0"
"2261","sp|P28066|PSA5_HUMAN","sp|P28066|PSA5_HUMAN",-0.0357,0.700219481190515,0.772,"conditionB-conditionA","HUMAN","0","0"
"2262","sp|P56192|SYMC_HUMAN","sp|P56192|SYMC_HUMAN",-0.0379,0.701717830147111,0.773,"conditionB-conditionA","HUMAN","0","0"
"2263","sp|Q9NX55|HYPK_HUMAN","sp|Q9NX55|HYPK_HUMAN",-0.0683,0.701940953237951,0.773,"conditionB-conditionA","HUMAN","0","0"
"2264","sp|Q9GZL7|WDR12_HUMAN","sp|Q9GZL7|WDR12_HUMAN",-0.0999,0.702062232931279,0.773,"conditionB-conditionA","HUMAN","0","0"
"2265","sp|Q96T76|MMS19_HUMAN","sp|Q96T76|MMS19_HUMAN",-0.116,0.702694010535472,0.773,"conditionB-conditionA","HUMAN","0","0"
"2266","sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN","sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN",-0.038,0.703036468436267,0.773,"conditionB-conditionA","HUMAN","0","0"
"2267","sp|P41223|BUD31_HUMAN","sp|P41223|BUD31_HUMAN",-0.0739,0.703063616013599,0.773,"conditionB-conditionA","HUMAN","0","0"
"2268","sp|Q8N257|H2B3B_HUMAN;sp|A0A2R8Y619|H2BK1_HUMAN","sp|Q8N257|H2B3B_HUMAN;sp|A0A2R8Y619|H2BK1_HUMAN",-0.071,0.704120083519101,0.772,"conditionB-conditionA","HUMAN","0","0"
"2269","sp|Q8NBJ5|GT251_HUMAN","sp|Q8NBJ5|GT251_HUMAN",0.0817,0.704426962678875,0.773,"conditionB-conditionA","HUMAN","0","0"
"2270","sp|Q8TBN0|R3GEF_HUMAN","sp|Q8TBN0|R3GEF_HUMAN",-0.0374,0.704520759597192,0.773,"conditionB-conditionA","HUMAN","0","0"
"2271","sp|P30043|BLVRB_HUMAN","sp|P30043|BLVRB_HUMAN",-0.0312,0.704607041511473,0.773,"conditionB-conditionA","HUMAN","0","0"
"2272","sp|P06733|ENOA_HUMAN","sp|P06733|ENOA_HUMAN",-0.029,0.705112638124411,0.773,"conditionB-conditionA","HUMAN","0","0"
"2273","sp|O43156|TTI1_HUMAN","sp|O43156|TTI1_HUMAN",-0.101,0.705854775201699,0.773,"conditionB-conditionA","HUMAN","0","0"
"2274","sp|Q6NYC8|PPR18_HUMAN","sp|Q6NYC8|PPR18_HUMAN",-0.0623,0.706610430347933,0.773,"conditionB-conditionA","HUMAN","0","0"
"2275","sp|Q8TF05|PP4R1_HUMAN","sp|Q8TF05|PP4R1_HUMAN",0.0964,0.707677360555033,0.773,"conditionB-conditionA","HUMAN","0","0"
"2276","sp|P78347|GTF2I_HUMAN;sp|Q86UP8|GTD2A_HUMAN;sp|Q6EKJ0|GTD2B_HUMAN","sp|P78347|GTF2I_HUMAN;sp|Q86UP8|GTD2A_HUMAN;sp|Q6EKJ0|GTD2B_HUMAN",0.0402,0.707693463458944,0.773,"conditionB-conditionA","HUMAN","0","0"
"2277","sp|O95478|NSA2_HUMAN","sp|O95478|NSA2_HUMAN",-0.152,0.707727811050801,0.773,"conditionB-conditionA","HUMAN","0","0"
"2278","sp|Q15910|EZH2_HUMAN","sp|Q15910|EZH2_HUMAN",0.0793,0.707752463019052,0.773,"conditionB-conditionA","HUMAN","0","0"
"2279","sp|P32929|CGL_HUMAN","sp|P32929|CGL_HUMAN",-0.0782,0.709211723812676,0.774,"conditionB-conditionA","HUMAN","0","0"
"2280","sp|Q9BWD1|THIC_HUMAN","sp|Q9BWD1|THIC_HUMAN",-0.051,0.709245308596354,0.774,"conditionB-conditionA","HUMAN","0","0"
"2281","sp|P22087|FBRL_HUMAN","sp|P22087|FBRL_HUMAN",-0.04,0.711307713063136,0.774,"conditionB-conditionA","HUMAN","0","0"
"2282","sp|Q9BRP1|PDD2L_HUMAN","sp|Q9BRP1|PDD2L_HUMAN",-0.0415,0.712338783325572,0.774,"conditionB-conditionA","HUMAN","0","0"
"2283","sp|O00233|PSMD9_HUMAN","sp|O00233|PSMD9_HUMAN",-0.0622,0.71257647691171,0.774,"conditionB-conditionA","HUMAN","0","0"
"2284","sp|Q9UBI1|COMD3_HUMAN","sp|Q9UBI1|COMD3_HUMAN",-0.0991,0.713171614305732,0.774,"conditionB-conditionA","HUMAN","0","0"
"2285","sp|Q2VPK5|CTU2_HUMAN","sp|Q2VPK5|CTU2_HUMAN",-0.0986,0.713566242443958,0.774,"conditionB-conditionA","HUMAN","0","0"
"2286","sp|Q03154|ACY1_HUMAN","sp|Q03154|ACY1_HUMAN",-0.166,0.714369623246116,0.774,"conditionB-conditionA","HUMAN","0","0"
"2287","sp|P50991|TCPD_HUMAN","sp|P50991|TCPD_HUMAN",0.0273,0.714711991394753,0.774,"conditionB-conditionA","HUMAN","0","0"
"2288","sp|Q9H9Y6|RPA2_HUMAN","sp|Q9H9Y6|RPA2_HUMAN",0.0728,0.715157102523775,0.775,"conditionB-conditionA","HUMAN","0","0"
"2289","sp|P61758|PFD3_HUMAN","sp|P61758|PFD3_HUMAN",-0.047,0.715467152243867,0.775,"conditionB-conditionA","HUMAN","0","0"
"2290","sp|Q8IV08|PLD3_HUMAN","sp|Q8IV08|PLD3_HUMAN",-0.162,0.715645188653988,0.774,"conditionB-conditionA","HUMAN","0","0"
"2291","sp|Q14683|SMC1A_HUMAN","sp|Q14683|SMC1A_HUMAN",-0.0766,0.716791204091797,0.775,"conditionB-conditionA","HUMAN","0","0"
"2292","sp|Q96HR9|REEP6_HUMAN","sp|Q96HR9|REEP6_HUMAN",0.0379,0.71767134859722,0.775,"conditionB-conditionA","HUMAN","0","0"
"2293","sp|Q14061|COX17_HUMAN","sp|Q14061|COX17_HUMAN",-0.037,0.718061625530353,0.775,"conditionB-conditionA","HUMAN","0","0"
"2294","sp|Q9UBE0|SAE1_HUMAN","sp|Q9UBE0|SAE1_HUMAN",0.0429,0.718629657132111,0.775,"conditionB-conditionA","HUMAN","0","0"
"2295","sp|Q96BM9|ARL8A_HUMAN;sp|Q9NVJ2|ARL8B_HUMAN","sp|Q96BM9|ARL8A_HUMAN;sp|Q9NVJ2|ARL8B_HUMAN",-0.0607,0.719500624459567,0.775,"conditionB-conditionA","HUMAN","0","0"
"2296","sp|O00170|AIP_HUMAN","sp|O00170|AIP_HUMAN",0.0744,0.720756825778713,0.775,"conditionB-conditionA","HUMAN","0","0"
"2297","sp|Q9Y4Y9|LSM5_HUMAN","sp|Q9Y4Y9|LSM5_HUMAN",0.0272,0.720867693538247,0.775,"conditionB-conditionA","HUMAN","0","0"
"2298","sp|Q15061|WDR43_HUMAN","sp|Q15061|WDR43_HUMAN",0.113,0.721438028509343,0.775,"conditionB-conditionA","HUMAN","0","0"
"2299","sp|P19404|NDUV2_HUMAN","sp|P19404|NDUV2_HUMAN",-0.114,0.721446197068165,0.775,"conditionB-conditionA","HUMAN","0","0"
"2300","sp|Q9NVI1|FANCI_HUMAN","sp|Q9NVI1|FANCI_HUMAN",0.149,0.721706963520927,0.776,"conditionB-conditionA","HUMAN","0","0"
"2301","sp|Q8N6H7|ARFG2_HUMAN","sp|Q8N6H7|ARFG2_HUMAN",0.0661,0.722411702574048,0.775,"conditionB-conditionA","HUMAN","0","0"
"2302","sp|P61225|RAP2B_HUMAN","sp|P61225|RAP2B_HUMAN",-0.0968,0.72280604303949,0.775,"conditionB-conditionA","HUMAN","0","0"
"2303","sp|Q9BTY7|HGH1_HUMAN","sp|Q9BTY7|HGH1_HUMAN",0.0988,0.723104899063765,0.776,"conditionB-conditionA","HUMAN","0","0"
"2304","sp|Q9C0C9|UBE2O_HUMAN","sp|Q9C0C9|UBE2O_HUMAN",0.121,0.724539951580219,0.776,"conditionB-conditionA","HUMAN","0","0"
"2305","sp|O43592|XPOT_HUMAN","sp|O43592|XPOT_HUMAN",0.0724,0.726162332395263,0.776,"conditionB-conditionA","HUMAN","0","0"
"2306","sp|Q9Y5J1|UTP18_HUMAN","sp|Q9Y5J1|UTP18_HUMAN",0.101,0.72650184054369,0.776,"conditionB-conditionA","HUMAN","0","0"
"2307","sp|P30038|AL4A1_HUMAN","sp|P30038|AL4A1_HUMAN",0.0576,0.726560573377957,0.776,"conditionB-conditionA","HUMAN","0","0"
"2308","sp|O94906|PRP6_HUMAN","sp|O94906|PRP6_HUMAN",-0.0543,0.727651870632005,0.776,"conditionB-conditionA","HUMAN","0","0"
"2309","sp|Q13363|CTBP1_HUMAN;sp|P56545|CTBP2_HUMAN","sp|Q13363|CTBP1_HUMAN;sp|P56545|CTBP2_HUMAN",0.0654,0.72842431127743,0.777,"conditionB-conditionA","HUMAN","0","0"
"2310","sp|Q9H6Z4|RANB3_HUMAN","sp|Q9H6Z4|RANB3_HUMAN",0.0477,0.728494939627153,0.776,"conditionB-conditionA","HUMAN","0","0"
"2311","sp|Q8IYB9|ZN595_HUMAN","sp|Q8IYB9|ZN595_HUMAN",-0.137,0.728691951035215,0.775,"conditionB-conditionA","HUMAN","0","0"
"2312","sp|Q9UBC2|EP15R_HUMAN","sp|Q9UBC2|EP15R_HUMAN",-0.0342,0.730073474985979,0.777,"conditionB-conditionA","HUMAN","0","0"
"2313","sp|Q9UNS1|TIM_HUMAN","sp|Q9UNS1|TIM_HUMAN",-0.04,0.730103208895473,0.777,"conditionB-conditionA","HUMAN","0","0"
"2314","sp|O15212|PFD6_HUMAN","sp|O15212|PFD6_HUMAN",0.0568,0.730867455259799,0.777,"conditionB-conditionA","HUMAN","0","0"
"2315","sp|Q86X55|CARM1_HUMAN","sp|Q86X55|CARM1_HUMAN",0.183,0.732179598124955,0.777,"conditionB-conditionA","HUMAN","0","0"
"2316","sp|P06730|IF4E_HUMAN","sp|P06730|IF4E_HUMAN",0.0493,0.733152250344157,0.777,"conditionB-conditionA","HUMAN","0","0"
"2317","sp|Q13409|DC1I2_HUMAN","sp|Q13409|DC1I2_HUMAN",-0.105,0.733592229156446,0.777,"conditionB-conditionA","HUMAN","0","0"
"2318","sp|O43670|ZN207_HUMAN","sp|O43670|ZN207_HUMAN",-0.0503,0.734653707311698,0.777,"conditionB-conditionA","HUMAN","0","0"
"2319","sp|P11310|ACADM_HUMAN","sp|P11310|ACADM_HUMAN",-0.0397,0.735450513458023,0.778,"conditionB-conditionA","HUMAN","0","0"
"2320","sp|Q9Y5A9|YTHD2_HUMAN","sp|Q9Y5A9|YTHD2_HUMAN",-0.0568,0.736939350833277,0.778,"conditionB-conditionA","HUMAN","0","0"
"2321","sp|P49748|ACADV_HUMAN","sp|P49748|ACADV_HUMAN",-0.279,0.737630455787569,0.777,"conditionB-conditionA","HUMAN","0","0"
"2322","sp|O14880|MGST3_HUMAN","sp|O14880|MGST3_HUMAN",0.0456,0.739428045442248,0.778,"conditionB-conditionA","HUMAN","0","0"
"2323","sp|Q16637|SMN_HUMAN","sp|Q16637|SMN_HUMAN",-0.125,0.739464273801942,0.778,"conditionB-conditionA","HUMAN","0","0"
"2324","sp|P54920|SNAA_HUMAN;sp|Q9H115|SNAB_HUMAN","sp|P54920|SNAA_HUMAN;sp|Q9H115|SNAB_HUMAN",0.0735,0.740404157867848,0.778,"conditionB-conditionA","HUMAN","0","0"
"2325","sp|P18754|RCC1_HUMAN","sp|P18754|RCC1_HUMAN",0.0437,0.741625713879206,0.778,"conditionB-conditionA","HUMAN","0","0"
"2326","sp|P54578|UBP14_HUMAN","sp|P54578|UBP14_HUMAN",-0.0305,0.741728522293033,0.778,"conditionB-conditionA","HUMAN","0","0"
"2327","sp|Q14980|NUMA1_HUMAN;sp|O00471|EXOC5_HUMAN","sp|Q14980|NUMA1_HUMAN;sp|O00471|EXOC5_HUMAN",-0.0411,0.742391731013525,0.779,"conditionB-conditionA","HUMAN","0","0"
"2328","sp|P19367|HXK1_HUMAN","sp|P19367|HXK1_HUMAN",0.0459,0.742990840444481,0.779,"conditionB-conditionA","HUMAN","0","0"
"2329","sp|P24752|THIL_HUMAN","sp|P24752|THIL_HUMAN",0.0378,0.743538977694476,0.779,"conditionB-conditionA","HUMAN","0","0"
"2330","sp|Q96D46|NMD3_HUMAN","sp|Q96D46|NMD3_HUMAN",-0.1,0.743824153918432,0.779,"conditionB-conditionA","HUMAN","0","0"
"2331","sp|Q03426|KIME_HUMAN","sp|Q03426|KIME_HUMAN",0.0779,0.744461857161585,0.778,"conditionB-conditionA","HUMAN","0","0"
"2332","sp|P16930|FAAA_HUMAN","sp|P16930|FAAA_HUMAN",0.0379,0.745585784603947,0.779,"conditionB-conditionA","HUMAN","0","0"
"2333","sp|P62304|RUXE_HUMAN","sp|P62304|RUXE_HUMAN",-0.0436,0.745801786172643,0.779,"conditionB-conditionA","HUMAN","0","0"
"2334","sp|Q9H9J2|RM44_HUMAN","sp|Q9H9J2|RM44_HUMAN",0.0972,0.745840327248212,0.779,"conditionB-conditionA","HUMAN","0","0"
"2335","sp|Q7L576|CYFP1_HUMAN","sp|Q7L576|CYFP1_HUMAN",-0.0707,0.745886482073639,0.779,"conditionB-conditionA","HUMAN","0","0"
"2336","sp|Q8NI27|THOC2_HUMAN","sp|Q8NI27|THOC2_HUMAN",0.0741,0.746167293080169,0.779,"conditionB-conditionA","HUMAN","0","0"
"2337","sp|Q99747|SNAG_HUMAN","sp|Q99747|SNAG_HUMAN",-0.0623,0.746324769404439,0.779,"conditionB-conditionA","HUMAN","0","0"
"2338","sp|Q9H0D6|XRN2_HUMAN","sp|Q9H0D6|XRN2_HUMAN",-0.0858,0.746565826459598,0.779,"conditionB-conditionA","HUMAN","0","0"
"2339","sp|Q8IYB8|SUV3_HUMAN","sp|Q8IYB8|SUV3_HUMAN",-0.0277,0.74660165710906,0.779,"conditionB-conditionA","HUMAN","0","0"
"2340","sp|A0AVT1|UBA6_HUMAN","sp|A0AVT1|UBA6_HUMAN",-0.0552,0.746808575423122,0.779,"conditionB-conditionA","HUMAN","0","0"
"2341","sp|P43366|MAGB1_HUMAN;sp|O15481|MAGB4_HUMAN;sp|Q96LZ2|MAGBA_HUMAN","sp|P43366|MAGB1_HUMAN;sp|O15481|MAGB4_HUMAN;sp|Q96LZ2|MAGBA_HUMAN",-0.0583,0.747051976962147,0.779,"conditionB-conditionA","HUMAN","0","0"
"2342","sp|Q13247|SRSF6_HUMAN","sp|Q13247|SRSF6_HUMAN",-0.138,0.747321084673549,0.779,"conditionB-conditionA","HUMAN","0","0"
"2343","sp|Q7Z4H3|HDDC2_HUMAN","sp|Q7Z4H3|HDDC2_HUMAN",-0.126,0.747331410301467,0.779,"conditionB-conditionA","HUMAN","0","0"
"2344","sp|P33991|MCM4_HUMAN;sp|Q9UJA3|MCM8_HUMAN","sp|P33991|MCM4_HUMAN;sp|Q9UJA3|MCM8_HUMAN",-0.0329,0.747348009866835,0.779,"conditionB-conditionA","HUMAN","0","0"
"2345","sp|P52272|HNRPM_HUMAN","sp|P52272|HNRPM_HUMAN",-0.0281,0.747588830045201,0.779,"conditionB-conditionA","HUMAN","0","0"
"2346","sp|Q9UJX3|APC7_HUMAN","sp|Q9UJX3|APC7_HUMAN",0.0586,0.748312220749237,0.779,"conditionB-conditionA","HUMAN","0","0"
"2347","sp|Q9NP77|SSU72_HUMAN","sp|Q9NP77|SSU72_HUMAN",-0.102,0.748458577580241,0.778,"conditionB-conditionA","HUMAN","0","0"
"2348","sp|Q9BQ67|GRWD1_HUMAN","sp|Q9BQ67|GRWD1_HUMAN",-0.0708,0.748586271959452,0.779,"conditionB-conditionA","HUMAN","0","0"
"2349","sp|Q9NS69|TOM22_HUMAN","sp|Q9NS69|TOM22_HUMAN",-0.0496,0.748675378638585,0.779,"conditionB-conditionA","HUMAN","0","0"
"2350","sp|P26038|MOES_HUMAN","sp|P26038|MOES_HUMAN",-0.0296,0.749829765811979,0.78,"conditionB-conditionA","HUMAN","0","0"
"2351","sp|P05091|ALDH2_HUMAN;sp|P00352|AL1A1_HUMAN","sp|P05091|ALDH2_HUMAN;sp|P00352|AL1A1_HUMAN",0.0652,0.752585380218953,0.78,"conditionB-conditionA","HUMAN","0","0"
"2352","sp|Q29RF7|PDS5A_HUMAN","sp|Q29RF7|PDS5A_HUMAN",0.0634,0.752953623684828,0.78,"conditionB-conditionA","HUMAN","0","0"
"2353","sp|O75607|NPM3_HUMAN","sp|O75607|NPM3_HUMAN",0.0485,0.75295709891906,0.78,"conditionB-conditionA","HUMAN","0","0"
"2354","sp|Q9BZA5|TXNG2_HUMAN;sp|Q9NUQ3|TXLNG_HUMAN","sp|Q9BZA5|TXNG2_HUMAN;sp|Q9NUQ3|TXLNG_HUMAN",0.0547,0.753054504464548,0.78,"conditionB-conditionA","HUMAN","0","0"
"2355","sp|P28340|DPOD1_HUMAN","sp|P28340|DPOD1_HUMAN",0.0755,0.753524037413612,0.78,"conditionB-conditionA","HUMAN","0","0"
"2356","sp|Q05086|UBE3A_HUMAN","sp|Q05086|UBE3A_HUMAN",0.0297,0.753778507803307,0.78,"conditionB-conditionA","HUMAN","0","0"
"2357","sp|Q9Y5Q8|TF3C5_HUMAN","sp|Q9Y5Q8|TF3C5_HUMAN",-0.0638,0.75499907305938,0.78,"conditionB-conditionA","HUMAN","0","0"
"2358","sp|Q13610|PWP1_HUMAN","sp|Q13610|PWP1_HUMAN",-0.0919,0.755345408968043,0.78,"conditionB-conditionA","HUMAN","0","0"
"2359","sp|Q01844|EWS_HUMAN","sp|Q01844|EWS_HUMAN",0.0549,0.755734466938935,0.78,"conditionB-conditionA","HUMAN","0","0"
"2360","sp|P39748|FEN1_HUMAN","sp|P39748|FEN1_HUMAN",0.0329,0.757855937908736,0.781,"conditionB-conditionA","HUMAN","0","0"
"2361","sp|Q96EY1|DNJA3_HUMAN","sp|Q96EY1|DNJA3_HUMAN",-0.0675,0.758745753311127,0.781,"conditionB-conditionA","HUMAN","0","0"
"2362","sp|P41252|SYIC_HUMAN","sp|P41252|SYIC_HUMAN",0.0273,0.758774455975631,0.781,"conditionB-conditionA","HUMAN","0","0"
"2363","sp|P84090|ERH_HUMAN","sp|P84090|ERH_HUMAN",-0.0314,0.759560105735497,0.781,"conditionB-conditionA","HUMAN","0","0"
"2364","sp|P10768|ESTD_HUMAN","sp|P10768|ESTD_HUMAN",-0.0332,0.760555878634422,0.781,"conditionB-conditionA","HUMAN","0","0"
